"yearmonth","riders"
"2020-04-01",598830
"2020-05-01",623410
"2020-06-01",702260
"2020-07-01",752440
"2020-08-01",828870
"2020-09-01",749820
"2020-10-01",790520
"2020-11-01",734680
"2020-12-01",714300
"2021-01-01",706680
"2021-02-01",684090
"2021-03-01",775370
"2021-04-01",813900
"2021-05-01",827510
"2021-06-01",841890
"2021-07-01",904450
"2021-08-01",893150
"2021-09-01",944810
"2021-10-01",985070
"2021-11-01",932460
"2021-12-01",894930
"2022-01-01",892060
"2022-02-01",935020
"2022-03-01",993850
"2022-04-01",1020000
"2022-05-01",1050000
"2022-06-01",1090000
"2022-07-01",1070000
"2022-08-01",1080000
"2022-09-01",1140000
"2022-10-01",1160000
"2022-11-01",1100000
"2022-12-01",1010000
"2023-01-01",1090000
"2023-02-01",1110000
"2023-03-01",1150000
"2023-04-01",1170000
"2023-05-01",1210000
"2023-06-01",1210000
"2023-07-01",1210000
"2023-08-01",1260000
"2023-09-01",1270000
"2023-10-01",1290000
"2023-11-01",1230000
"2023-12-01",1210000
"2024-01-01",1160000
"2024-02-01",1270000
"2024-03-01",1260000
"2024-04-01",1290000
"2024-05-01",1300000
"2024-06-01",1350000
"2024-07-01",1270000
"2024-08-01",1290000
"2024-09-01",1320000
